ANO	MES	IPCA
1994	JAN	2.693,84
1994	FEV	3.035,71
1994	MAR	3.417,39
1994	ABR	3.828,49
1994	MAI	4.331,19
1994	JUN	4.922,60
1994	JUL	4.005,08
1994	AGO	3.044,89
1994	SET	2.253,15
1994	OUT	1.703,17
1994	NOV	1.267,54
1994	DEZ	916,46
1995	JAN	631,54
1995	FEV	426,83
1995	MAR	274,78
1995	ABR	169,05
1995	MAI	91,79
1995	JUN	33,03
1995	JUL	27,45
1995	AGO	26,36
1995	SET	25,69
1995	OUT	24,21
1995	NOV	22,59
1995	DEZ	22,41
1996	JAN	21,97
1996	FEV	21,99
1996	MAR	20,55
1996	ABR	19,17
1996	MAI	17,49
1996	JUN	16,26
1996	JUL	14,84
1996	AGO	14,21
1996	SET	13,26
1996	OUT	12,02
1996	NOV	10,75
1996	DEZ	9,56
1997	JAN	9,39
1997	FEV	8,82
1997	MAR	8,99
1997	ABR	8,58
1997	MAI	7,71
1997	JUN	7,02
1997	JUL	6,08
1997	AGO	5,59
1997	SET	5,5
1997	OUT	5,42
1997	NOV	5,27
1997	DEZ	5,22
1998	JAN	4,73
1998	FEV	4,69
1998	MAR	4,52
1998	ABR	3,85
1998	MAI	3,95
1998	JUN	3,41
1998	JUL	3,06
1998	AGO	2,55
1998	SET	2,27
1998	OUT	2,05
1998	NOV	1,76
1998	DEZ	1,65
1999	JAN	1,65
1999	FEV	2,24
1999	MAR	3,02
1999	ABR	3,35
1999	MAI	3,14
1999	JUN	3,32
1999	JUL	4,57
1999	AGO	5,69
1999	SET	6,25
1999	OUT	7,5
1999	NOV	8,65
1999	DEZ	8,94
2000	JAN	8,85
2000	FEV	7,86
2000	MAR	6,92
2000	ABR	6,77
2000	MAI	6,47
2000	JUN	6,51
2000	JUL	7,06
2000	AGO	7,86
2000	SET	7,77
2000	OUT	6,65
2000	NOV	5,99
2000	DEZ	5,97
2001	JAN	5,92
2001	FEV	6,27
2001	MAR	6,44
2001	ABR	6,61
2001	MAI	7,04
2001	JUN	7,35
2001	JUL	7,05
2001	AGO	6,41
2001	SET	6,46
2001	OUT	7,19
2001	NOV	7,61
2001	DEZ	7,67
2002	JAN	7,62
2002	FEV	7,51
2002	MAR	7,75
2002	ABR	7,98
2002	MAI	7,77
2002	JUN	7,66
2002	JUL	7,51
2002	AGO	7,46
2002	SET	7,93
2002	OUT	8,45
2002	NOV	10,93
2002	DEZ	12,53
2003	JAN	14,47
2003	FEV	15,85
2003	MAR	16,57
2003	ABR	16,77
2003	MAI	17,24
2003	JUN	16,57
2003	JUL	15,43
2003	AGO	15,07
2003	SET	15,14
2003	OUT	13,98
2003	NOV	11,02
2003	DEZ	9,3
2004	JAN	7,71
2004	FEV	6,69
2004	MAR	5,89
2004	ABR	5,26
2004	MAI	5,15
2004	JUN	6,06
2004	JUL	6,81
2004	AGO	7,18
2004	SET	6,7
2004	OUT	6,86
2004	NOV	7,24
2004	DEZ	7,6
2005	JAN	7,41
2005	FEV	7,39
2005	MAR	7,54
2005	ABR	8,07
2005	MAI	8,05
2005	JUN	7,27
2005	JUL	6,57
2005	AGO	6,02
2005	SET	6,04
2005	OUT	6,36
2005	NOV	6,22
2005	DEZ	5,69
2006	JAN	5,7
2006	FEV	5,51
2006	MAR	5,32
2006	ABR	4,63
2006	MAI	4,23
2006	JUN	4,03
2006	JUL	3,97
2006	AGO	3,84
2006	SET	3,7
2006	OUT	3,26
2006	NOV	3,02
2006	DEZ	3,14
2007	JAN	2,99
2007	FEV	3,02
2007	MAR	2,96
2007	ABR	3
2007	MAI	3,18
2007	JUN	3,69
2007	JUL	3,74
2007	AGO	4,18
2007	SET	4,15
2007	OUT	4,12
2007	NOV	4,19
2007	DEZ	4,46
2008	JAN	4,56
2008	FEV	4,61
2008	MAR	4,73
2008	ABR	5,04
2008	MAI	5,58
2008	JUN	6,06
2008	JUL	6,37
2008	AGO	6,17
2008	SET	6,25
2008	OUT	6,41
2008	NOV	6,39
2008	DEZ	5,9
2009	JAN	5,84
2009	FEV	5,9
2009	MAR	5,61
2009	ABR	5,53
2009	MAI	5,2
2009	JUN	4,8
2009	JUL	4,5
2009	AGO	4,36
2009	SET	4,34
2009	OUT	4,17
2009	NOV	4,22
2009	DEZ	4,31
2010	JAN	4,59
2010	FEV	4,83
2010	MAR	5,17
2010	ABR	5,26
2010	MAI	5,22
2010	JUN	4,84
2010	JUL	4,6
2010	AGO	4,49
2010	SET	4,7
2010	OUT	5,2
2010	NOV	5,63
2010	DEZ	5,91
2011	JAN	5,99
2011	FEV	6,01
2011	MAR	6,3
2011	ABR	6,51
2011	MAI	6,55
2011	JUN	6,71
2011	JUL	6,87
2011	AGO	7,23
2011	SET	7,31
2011	OUT	6,97
2011	NOV	6,64
2011	DEZ	6,5
2012	JAN	6,22
2012	FEV	5,85
2012	MAR	5,24
2012	ABR	5,1
2012	MAI	4,99
2012	JUN	4,92
2012	JUL	5,2
2012	AGO	5,24
2012	SET	5,28
2012	OUT	5,45
2012	NOV	5,53
2012	DEZ	5,84
2013	JAN	6,15
2013	FEV	6,31
2013	MAR	6,59
2013	ABR	6,49
2013	MAI	6,5
2013	JUN	6,7
2013	JUL	6,27
2013	AGO	6,09
2013	SET	5,86
2013	OUT	5,84
2013	NOV	5,77
2013	DEZ	5,91
2014	JAN	5,59
2014	FEV	5,68
2014	MAR	6,15
2014	ABR	6,28
2014	MAI	6,37
2014	JUN	6,52
2014	JUL	6,5
2014	AGO	6,51
2014	SET	6,75
2014	OUT	6,59
2014	NOV	6,56
2014	DEZ	6,41
2015	JAN	7,14
2015	FEV	7,7
2015	MAR	8,13
2015	ABR	8,17
2015	MAI	8,47
2015	JUN	8,89
2015	JUL	9,56
2015	AGO	9,53
2015	SET	9,49
2015	OUT	9,93
2015	NOV	10,48
2015	DEZ	10,67
2016	JAN	10,71
2016	FEV	10,36
2016	MAR	9,39
2016	ABR	9,28
2016	MAI	9,32
2016	JUN	8,84
2016	JUL	8,74
2016	AGO	8,97
2016	SET	8,48
2016	OUT	7,87
2016	NOV	6,99
2016	DEZ	6,29
2017	JAN	5,35
2017	FEV	4,76
2017	MAR	4,57
2017	ABR	4,08
2017	MAI	3,6
2017	JUN	3
2017	JUL	2,71
2017	AGO	2,46
2017	SET	2,54
2017	OUT	2,7
2017	NOV	2,8
2017	DEZ	2,95
2018	JAN	2,86
2018	FEV	2,84
2018	MAR	2,68
2018	ABR	2,76
2018	MAI	2,86
2018	JUN	4,39
2018	JUL	4,48
2018	AGO	4,19
2018	SET	4,53
2018	OUT	4,56
2018	NOV	4,05
2018	DEZ	3,75
2019	JAN	3,78
2019	FEV	3,89
2019	MAR	4,58
